,temp
0,-3.7
1,0.4
2,2.1
3,-0.6
4,-3.4
5,2.1
6,5.2
7,6.7
8,5.0
9,-2.2
10,-7.4
11,0.2
12,2.0
13,5.0
14,6.4
15,3.6
16,0.9
17,-6.0
18,-7.7
19,-7.7
20,-2.8
21,-2.4
22,-5.4
23,-8.7
24,-5.9
25,-4.4
26,-6.9
27,-6.4
28,-7.6
29,-5.8
30,-6.1
31,-7.8
32,-5.3
33,-2.6
34,0.0
35,-0.2
36,3.5
37,4.0
38,1.7
39,1.4
40,0.9
41,5.8
42,3.9
43,6.9
44,2.8
45,4.1
46,9.8
47,9.8
48,8.8
49,5.4
50,6.1
51,3.7
52,2.9
53,2.4
54,3.1
55,6.2
56,-0.1
57,-1.8
58,-4.6
59,-4.4
60,-5.4
61,-4.9
62,0.3
63,3.6
64,7.3
65,6.8
66,7.0
67,2.9
68,1.1
69,3.1
70,2.6
71,0.9
72,0.1
73,2.1
74,6.5
75,12.1
76,10.6
77,11.8
78,10.2
79,10.8
80,9.3
81,11.2
82,10.8
83,7.5
84,7.2
85,7.2
86,3.7
87,3.4
88,5.6
89,5.8
90,7.0
91,7.2
92,6.4
93,4.8
94,6.0
95,5.5
96,6.8
97,12.3
98,9.3
99,4.6
100,6.0
101,7.5
102,4.6
103,6.0
104,5.6
105,5.0
106,5.4
107,7.9
108,12.2
109,9.4
110,10.1
111,10.4
112,9.4
113,8.1
114,7.2
115,9.1
116,5.3
117,6.5
118,5.7
119,10.8
120,16.4
121,17.4
122,10.3
123,10.7
124,11.8
125,13.4
126,15.5
127,15.8
128,16.3
129,14.5
130,16.1
131,17.8
132,17.0
133,17.8
134,10.4
135,12.1
136,13.7
137,15.0
138,14.5
139,17.7
140,24.8
141,22.8
142,19.8
143,13.8
144,14.2
145,15.0
146,12.1
147,11.1
148,14.1
149,13.8
150,12.4
151,13.5
152,16.2
153,18.4
154,21.1
155,23.3
156,24.2
157,24.6
158,23.1
159,16.2
160,13.2
161,14.6
162,17.4
163,21.8
164,17.9
165,19.3
166,17.4
167,17.1
168,18.6
169,20.4
170,21.3
171,18.4
172,14.3
173,13.3
174,14.4
175,15.4
176,17.4
177,16.6
